text,url
Q: What were the estimated death ranges for World War II? A: 50–85 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did World War II take place? A: World War II occurred from 1939 to 1945,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in World War II? A: Allied Powers vs. Axis Powers,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for Mongol invasions and conquests? A: 20–60 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the Mongol invasions and conquests take place? A: The Mongol invasions and conquests occurred from 1207 to 1405,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in the Mongol invasions and conquests? A: Mongol Empire vs. various states in Eurasia,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for Three Kingdoms? A: 34 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the Three Kingdoms take place? A: The Three Kingdoms occurred from 220 to 280,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in the Three Kingdoms? A: Multiple sides,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for Taiping Rebellion? A: 20–30 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the Taiping Rebellion take place? A: The Taiping Rebellion occurred from 1850 to 1864,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in the Taiping Rebellion? A: Qing Dynasty vs. Taiping Heavenly Kingdom,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for World War I? A: 15–30 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did World War I take place? A: World War I occurred from 1914 to 1918,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in World War I? A: Allied Powers vs. Central Powers,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for Manchu Conquest of China? A: 25 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the Manchu Conquest of China take place? A: The Manchu Conquest of China occurred from 1618 to 1683,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in the Manchu Conquest of China? A: Manchu vs. Ming Dynasty,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for Conquests of Timur? A: 7–20 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the Conquests of Timur take place? A: The Conquests of Timur occurred from 1369 to 1405,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in the Conquests of Timur? A: Timurid Empire vs. various states in Asia,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for An Lushan rebellion? A: 13 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the An Lushan rebellion take place? A: The An Lushan rebellion occurred from 754 to 763,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in the An Lushan rebellion? A: Tang Dynasty and Uyghur Khaganate vs. Yan Dynasty,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for Thirty Years' War? A: 4–12 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the Thirty Years' War take place? A: The Thirty Years' War occurred from 1618 to 1648,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in the Thirty Years' War? A: Anti-Imperial Alliance vs. Imperial Alliance,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for Spanish conquest of Mexico? A: 10.5 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the Spanish conquest of Mexico take place? A: The Spanish conquest of Mexico occurred from 1519 to 1530,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in the Spanish conquest of Mexico? A: Spanish Empire and allies vs. Aztec Empire and allies,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for Spanish conquest of the Inca Empire? A: 10 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the Spanish conquest of the Inca Empire take place? A: The Spanish conquest of the Inca Empire occurred from 1533 to 1572,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in the Spanish conquest of the Inca Empire? A: Spanish Empire vs. Inca Empire,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for Russian Civil War? A: 7–10 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the Russian Civil War take place? A: The Russian Civil War occurred from 1917 to 1922,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: Which sides fought in the Russian Civil War? A: Multiple sides,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: What was the estimated death range for Chinese Civil War? A: 4–9 million deaths,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Q: When did the Chinese Civil War take place? A: The Chinese Civil War occurred from 1927 to 1949,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
